experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_q100_jpeg2000_20260529_142602,jpeg2000,100,baseline,64.2796344238627,f1_macro,0.07,0.8803846153846154,0.6229872646701026,0.7597145122918318,0.6106276002913017,24
efficientnet_b0_syntax_q95_jpeg2000_20260529_142839,jpeg2000,95,baseline,63.81162875722578,f1_macro,0.1166666666666666,0.9057692307692308,0.6277509747741573,0.7923777019340159,0.6271833888809876,24
efficientnet_b0_syntax_q90_jpeg2000_20260529_143149,jpeg2000,90,baseline,64.46130575412401,f1_macro,0.1233333333333333,0.9037179487179487,0.6265815556096199,0.7877585718333806,0.6285292534650574,24
efficientnet_b0_syntax_q85_jpeg2000_20260529_143418,jpeg2000,85,baseline,64.132059830368,f1_macro,0.1033333333333333,0.8969230769230769,0.6360968363931047,0.7810781078107811,0.633833920745925,24
efficientnet_b0_syntax_q80_jpeg2000_20260529_143625,jpeg2000,80,baseline,63.66409675257552,f1_macro,0.0366666666666666,0.8634615384615385,0.6199319035040696,0.7435173299101412,0.6102944722110687,24
efficientnet_b0_syntax_q75_jpeg2000_20260529_143813,jpeg2000,75,baseline,64.2624330104719,f1_macro,0.13,0.9016666666666666,0.6278663185314377,0.7849249079059224,0.6270127999436396,24
efficientnet_b0_syntax_q70_jpeg2000_20260529_144027,jpeg2000,70,baseline,64.67606946347226,f1_macro,0.1233333333333333,0.8969230769230769,0.6285862581640063,0.7772194304857621,0.629301640474271,24
efficientnet_b0_syntax_q60_jpeg2000_20260529_144237,jpeg2000,60,baseline,63.5363477463269,f1_macro,0.0533333333333333,0.862948717948718,0.6263859122354751,0.7455893633341857,0.613240098732859,24
efficientnet_b0_syntax_q50_jpeg2000_20260529_144422,jpeg2000,50,baseline,63.9281597781705,f1_macro,0.11,0.8956410256410257,0.6309489644656769,0.7777777777777778,0.6343631404982669,24
efficientnet_b0_syntax_q40_jpeg2000_20260529_144622,jpeg2000,40,baseline,63.074649603931874,f1_macro,0.1266666666666666,0.8957692307692308,0.6328744715864904,0.7812073204042611,0.6360172269422143,24
efficientnet_b0_syntax_q30_jpeg2000_20260529_144821,jpeg2000,30,baseline,63.33975016635116,f1_macro,0.11,0.8808974358974359,0.6307003798676892,0.7632749149882292,0.6253206838696103,24
efficientnet_b0_syntax_q20_jpeg2000_20260529_145008,jpeg2000,20,baseline,63.67423558083484,f1_macro,0.1433333333333333,0.9006410256410257,0.6109453806147109,0.7839195979899497,0.627628290545148,24
efficientnet_b0_syntax_q10_jpeg2000_20260529_145205,jpeg2000,10,baseline,64.21921702494583,f1_macro,0.10666666666666667,0.8988461538461539,0.6221857957199551,0.7866776768510872,0.6222283581759211,24
