experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_q100_jpeg_20260522_182129,jpeg,100,baseline,64.51171063068438,f1_macro,0.0333333333333333,0.8582051282051282,0.6110174926675899,0.7388404309902514,0.6036207705428316,24
efficientnet_b0_syntax_q95_jpeg_20260522_182305,jpeg,95,baseline,64.71956895112473,f1_macro,0.0466666666666666,0.8806410256410256,0.6217803245841592,0.7592788971367974,0.6119278420022546,24
efficientnet_b0_syntax_q90_jpeg_20260522_182444,jpeg,90,baseline,65.31138496679101,f1_macro,0.1,0.9014102564102564,0.638650807165349,0.7857742929151498,0.6277623197918157,24
efficientnet_b0_syntax_q85_jpeg_20260522_182626,jpeg,85,baseline,64.28478230047263,f1_macro,0.1033333333333333,0.8993589743589744,0.6231053542572225,0.7789711701526286,0.6294750814085927,24
efficientnet_b0_syntax_q80_jpeg_20260522_182811,jpeg,80,baseline,63.8335740364573,f1_macro,0.12,0.8997435897435897,0.6361782824610944,0.7837687604224569,0.6319848653968271,24
efficientnet_b0_syntax_q75_jpeg_20260522_182957,jpeg,75,baseline,64.44398139044513,f1_macro,0.08,0.8694871794871795,0.606065097607534,0.7369238736406007,0.601551719851957,24
efficientnet_b0_syntax_q70_jpeg_20260522_183122,jpeg,70,baseline,63.43712394476477,f1_macro,0.12,0.8952564102564102,0.6109292360188664,0.7752242152466368,0.6180969603654235,24
efficientnet_b0_syntax_q60_jpeg_20260522_183302,jpeg,60,baseline,65.16443095708776,f1_macro,0.09,0.8865384615384615,0.6279753980770115,0.7677144379328716,0.6173150965947168,24
efficientnet_b0_syntax_q50_jpeg_20260522_183433,jpeg,50,baseline,63.42332625628087,f1_macro,0.1,0.9043589743589744,0.6212684781253405,0.7903954802259887,0.6343587743512827,24
efficientnet_b0_syntax_q40_jpeg_20260522_183627,jpeg,40,baseline,63.73940513882933,f1_macro,0.1033333333333333,0.8955128205128206,0.6324281498855086,0.7803421124083627,0.6294381440380635,24
efficientnet_b0_syntax_q30_jpeg_20260522_183806,jpeg,30,baseline,64.21838975564081,f1_macro,0.1166666666666666,0.8951282051282051,0.6316159371487483,0.7750826901874311,0.6340478782905783,24
efficientnet_b0_syntax_q20_jpeg_20260522_183946,jpeg,20,baseline,65.24111496119335,f1_macro,0.0766666666666666,0.8844871794871795,0.62729787537218,0.7665431445209105,0.6284176908042417,24
efficientnet_b0_syntax_q10_jpeg_20260522_184120,jpeg,10,baseline,64.41465267917555,f1_macro,0.09333333333333334,0.8858974358974359,0.5468893657247108,0.7426257952573742,0.610776736143747,24
