experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_q100_jpeg2000_20260522_141604,jpeg2000,100,baseline,67.90474696726132,f1_macro,0.12,0.8832051282051282,0.6845564103696892,0.7775335775335775,0.6608636624929486,24
resnet50_syntax_q95_jpeg2000_20260522_142133,jpeg2000,95,baseline,67.53114632853168,f1_macro,0.13,0.8882051282051282,0.6654978482029241,0.7799091367995962,0.6497012530026662,24
resnet50_syntax_q90_jpeg2000_20260522_142711,jpeg2000,90,baseline,67.46654851419692,f1_macro,0.12,0.8878205128205128,0.6761905777792591,0.7818499127399651,0.6621245774350826,24
resnet50_syntax_q85_jpeg2000_20260522_143056,jpeg2000,85,baseline,67.22162736490795,f1_macro,0.1033333333333333,0.8806410256410256,0.6701068215667553,0.7707461216449151,0.6494113878232893,24
resnet50_syntax_q80_jpeg2000_20260522_143633,jpeg2000,80,baseline,68.41263293264716,f1_macro,0.1466666666666666,0.8841025641025642,0.6735245997567846,0.7751243781094528,0.6645738163197336,24
resnet50_syntax_q75_jpeg2000_20260522_144124,jpeg2000,75,baseline,67.41890131505826,f1_macro,0.1066666666666666,0.8766666666666667,0.6687841864236338,0.7655945419103314,0.6276088434566519,24
resnet50_syntax_q70_jpeg2000_20260522_144523,jpeg2000,70,baseline,67.30084166757435,f1_macro,0.1233333333333333,0.8869230769230769,0.660682739642845,0.7786144578313253,0.6501009169667861,24
resnet50_syntax_q60_jpeg2000_20260522_144849,jpeg2000,60,baseline,66.92663312436648,f1_macro,0.1166666666666666,0.8826923076923077,0.6740707705237018,0.7742413027387121,0.6411956979447235,24
resnet50_syntax_q50_jpeg2000_20260522_145224,jpeg2000,50,baseline,67.85926058919402,f1_macro,0.1266666666666666,0.8843589743589744,0.6826144218413992,0.7791380999020568,0.6449256816890659,24
resnet50_syntax_q40_jpeg2000_20260522_145535,jpeg2000,40,baseline,67.89840463819485,f1_macro,0.1533333333333333,0.8925641025641026,0.6769645042671483,0.7874175545408422,0.6432283886506646,24
resnet50_syntax_q30_jpeg2000_20260522_145854,jpeg2000,30,baseline,67.3471766163938,f1_macro,0.1333333333333333,0.8894871794871795,0.6793027604311189,0.7835258663987946,0.6486462679436075,24
resnet50_syntax_q20_jpeg2000_20260522_150249,jpeg2000,20,baseline,66.49336827891507,f1_macro,0.08,0.8701282051282051,0.670485131036831,0.7589816797525577,0.6490259756832399,24
resnet50_syntax_q10_jpeg2000_20260522_150530,jpeg2000,10,baseline,67.21369286826001,f1_macro,0.05333333333333334,0.8621794871794872,0.6618513014592624,0.7479484173505275,0.632448270983077,24
