experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_q100_jpeg_20260521_114648,jpeg,100,baseline,67.56998677839331,f1_macro,0.08,0.8761538461538462,0.6692801435664991,0.7664410058027079,0.6499276439173111,24
resnet50_syntax_q95_jpeg_20260521_114900,jpeg,95,baseline,67.10712213343224,f1_macro,0.07,0.8743589743589744,0.6675146370340223,0.7636275928605886,0.6499426858368055,24
resnet50_syntax_q90_jpeg_20260521_115104,jpeg,90,baseline,67.03728219116664,f1_macro,0.1,0.8796153846153846,0.6677281118678481,0.76854818831649,0.6455290024447052,24
resnet50_syntax_q85_jpeg_20260521_115331,jpeg,85,baseline,67.38109288964407,f1_macro,0.0866666666666666,0.8705128205128205,0.6693751167075348,0.7596382674916706,0.6496998496245036,24
resnet50_syntax_q80_jpeg_20260521_115535,jpeg,80,baseline,67.10730572887101,f1_macro,0.1366666666666666,0.887948717948718,0.6718145549858042,0.7808425275827482,0.6459543754351648,24
resnet50_syntax_q75_jpeg_20260521_115812,jpeg,75,baseline,67.47357211892358,f1_macro,0.1066666666666666,0.8865384615384615,0.6792341182595498,0.7797959691465539,0.6660489398977386,24
resnet50_syntax_q70_jpeg_20260521_120043,jpeg,70,baseline,67.61540356417208,f1_macro,0.08,0.8732051282051282,0.6614690479871026,0.7608222490931076,0.6399059527574956,24
resnet50_syntax_q60_jpeg_20260521_120248,jpeg,60,baseline,67.84434656425506,f1_macro,0.1166666666666666,0.8801282051282051,0.6666372312599363,0.7695341385260044,0.6553094591274616,24
resnet50_syntax_q50_jpeg_20260521_102833,jpeg,50,baseline,67.65609614592564,f1_macro,0.11,0.8803846153846154,0.663526780823141,0.7700271136307616,0.650749364211373,24
resnet50_syntax_q40_jpeg_20260521_120507,jpeg,40,baseline,67.69494537694808,f1_macro,0.0866666666666666,0.8743589743589744,0.6653551418172866,0.7617890131259115,0.6398380392468354,24
resnet50_syntax_q30_jpeg_20260521_120718,jpeg,30,baseline,66.87567602053103,f1_macro,0.06,0.8638461538461538,0.6663037441065522,0.751288056206089,0.6415976768479555,24
resnet50_syntax_q20_jpeg_20260521_120910,jpeg,20,baseline,67.77721998856708,f1_macro,0.1033333333333333,0.877051282051282,0.676176593629565,0.7686369119420989,0.6457396593251196,24
resnet50_syntax_q10_jpeg_20260521_121139,jpeg,10,baseline,66.99942373276009,f1_macro,0.12666666666666668,0.8806410256410256,0.670415011238784,0.7685806611981109,0.6495929033321916,24
