experiment_id,format,train_quality,test_quality,baseline_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_baseline_20260521_103955,avif,baseline,100,67.5850710429631,0.1333333333333333,0.887051282051282,0.6791390428532994,0.7806821010704506,0.6561079565550876,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,95,67.5850710429631,0.13,0.8867948717948718,0.6787222408732694,0.7801842170774209,0.6539996887949858,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,90,67.5850710429631,0.1366666666666666,0.8865384615384615,0.6735857253199953,0.7788052986753312,0.6549483128163076,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,85,67.5850710429631,0.1366666666666666,0.8866666666666667,0.6783118998479293,0.7799900447984072,0.6505506727318421,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,80,67.5850710429631,0.1433333333333333,0.8874358974358975,0.6790274463880861,0.7806096951524237,0.6520344918299353,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,75,67.5850710429631,0.1466666666666666,0.8883333333333333,0.6800715213391694,0.7823044238940265,0.6597844497667963,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,70,67.5850710429631,0.14,0.8866666666666667,0.6807380833112565,0.7799900447984072,0.6531220493572065,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,60,67.5850710429631,0.1333333333333333,0.8875641025641026,0.6785615712476861,0.7808047988003,0.6489550992465677,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,50,67.5850710429631,0.1266666666666666,0.8869230769230769,0.6750792159837178,0.7791687531296946,0.6502106861349516,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,40,67.5850710429631,0.14,0.8874358974358975,0.6739576371063261,0.7793969849246232,0.6500079533296723,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,30,67.5850710429631,0.1333333333333333,0.8865384615384615,0.6724382235224439,0.7776940467219292,0.6573297268293841,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,20,67.5850710429631,0.13,0.8861538461538462,0.670671457305024,0.7759838546922301,0.6585582316332927,24
resnet50_syntax_baseline_20260521_103955,avif,baseline,10,67.5850710429631,0.12333333333333334,0.8884615384615384,0.6715638605367938,0.7772657450076805,0.6609638126999905,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,100,67.5850710429631,0.1433333333333333,0.8865384615384615,0.6777837046616567,0.7791365111055653,0.6585405148341632,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,95,67.5850710429631,0.14,0.8861538461538462,0.6780226386633027,0.778994524639124,0.6570580968311891,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,90,67.5850710429631,0.14,0.8866666666666667,0.6781119904750911,0.7792207792207793,0.6574663947331318,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,85,67.5850710429631,0.1433333333333333,0.8858974358974359,0.6767013654809207,0.7784967645594824,0.6536154506631289,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,80,67.5850710429631,0.1333333333333333,0.8860256410256411,0.673504369257148,0.7780274656679151,0.6499221037807947,24
